Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170820;1;14300;14448,225
20170820;2;13700;13766,800
20170820;3;13300;13466,950
20170820;4;13200;13293,988
20170820;5;13000;13225,650
20170820;6;12600;12774,850
20170820;7;13200;12971,475
20170820;8;14200;13801,525
20170820;9;15300;14895,613
20170820;10;16200;15900,125
20170820;11;16500;16515,050
20170820;12;16700;16771,813
20170820;13;16800;16789,500
20170820;14;16800;16718,013
20170820;15;16400;16367,288
20170820;16;16100;16091,025
20170820;17;15900;15821,688
20170820;18;15900;15724,288
20170820;19;16200;15957,788
20170820;20;16800;16354,025
20170820;21;17500;17182,125
20170820;22;16900;16792,200
20170820;23;16000;15841,925
20170820;24;14900;14875,038
20170821;1;14000;14014,163
20170821;2;13600;13632,750
20170821;3;13300;13372,338
20170821;4;13300;13432,238
20170821;5;13700;13754,938
20170821;6;14500;14038,850
20170821;7;17500;16284,125
20170821;8;19300;18627,388
20170821;9;20300;19955,850
20170821;10;20700;20485,750
20170821;11;21200;20549,163
20170821;12;21400;20917,150
20170821;13;21600;21022,013
20170821;14;21700;21117,825
20170821;15;21200;20736,625
20170821;16;20900;20522,825
20170821;17;20500;20148,975
20170821;18;20000;19791,063
20170821;19;20100;19767,138
20170821;20;20800;20106,788
20170821;21;21500;20966,863
20170821;22;20400;19933,900
20170821;23;18600;18370,875
20170821;24;17000;16973,713
20170822;1;16100;15899,838
20170822;2;15500;15366,513
20170822;3;15200;15000,263
20170822;4;15200;15009,250
20170822;5;15500;15227,838
20170822;6;15800;15384,813
20170822;7;18600;17263,925
20170822;8;20400;19359,838
20170822;9;21200;20511,775
20170822;10;21500;20974,825
20170822;11;21700;21075,263
20170822;12;21900;21452,088
20170822;13;22000;21517,763
20170822;14;22000;21485,313
20170822;15;21600;21018,825
20170822;16;21300;20743,025
20170822;17;20900;20403,100
20170822;18;20500;20139,500
20170822;19;20300;19994,288
20170822;20;21200;20333,963
20170822;21;21900;21214,625
20170822;22;20700;20181,725
20170822;23;18900;18482,350
20170822;24;17400;17127,900
20170823;1;16100;16043,963
20170823;2;15500;15453,750
20170823;3;15200;15083,600
20170823;4;15200;15149,288
20170823;5;15500;15386,825
